2023-01-20 15:06:49.327 [INFO] | 200 |  337.516567ms |  127.0.0.1:8011 | GET | /v1/login/GetLoginQrCode?key=dad26a06-5726-4a5a-a320-e7708efab091 | 
2023-01-20 15:07:23.138 [INFO] | 200 |  218.338943ms |  127.0.0.1:8011 | GET | /v1/login/GetLoginQrCode?key=dad26a06-5726-4a5a-a320-e7708efab091 | 
2023-01-20 15:08:06.411 [INFO] | 200 |   246.03206ms |  127.0.0.1:8011 | GET | /v1/login/GetLoginQrCode?key=dad26a06-5726-4a5a-a320-e7708efab091 | 
2023-01-20 15:08:35.537 [INFO] | 200 |  2.304935931s |  127.0.0.1:8011 | GET | /v1/login/CheckLoginStatus?key=dad26a06-5726-4a5a-a320-e7708efab091&uuid=w_Pcp3TnP-sFxvYsUdYs | 
2023-01-20 15:08:43.432 [INFO] | 500 |  156.537866ms |  127.0.0.1:8011 | POST | /v1/message/NewSyncHistoryMessage?key=dad26a06-5726-4a5a-a320-e7708efab091 | 
2023-01-20 15:13:20.099 [INFO] | 200 |      58.295µs |  127.0.0.1:8011 | POST | /v1/login/GetLoginQrCodeNew?key=dad26a06-5516-4a5a-a320-e7708efab091 | 
2023-01-20 15:14:14.628 [INFO] | 200 |  25.52341618s |  127.0.0.1:8011 | POST | /v1/login/GetLoginQrCodeNew?key=dad26a06-5516-4a5a-a320-e7708efab091 | 
2023-01-20 15:14:29.992 [INFO] | 200 |  134.695675ms |  127.0.0.1:8011 | GET | /v1/login/CheckLoginStatus?key=dad26a06-5516-4a5a-a320-e7708efab091&uuid=Q7fiBKQo_rlpSfS5wMTk | 
2023-01-20 15:14:36.986 [INFO] | 200 |   216.49726ms |  127.0.0.1:8011 | POST | /v1/login/GetLoginQrCodeNew?key=dad26a06-5516-4a5a-a320-e7708efab091 | 
2023-01-20 15:15:27.091 [INFO] | 200 |  1.883122881s |  127.0.0.1:8011 | GET | /v1/login/CheckLoginStatus?key=dad26a06-5516-4a5a-a320-e7708efab091&uuid=Y4l6N8oLuBIglWSDvdV0 | 
2023-01-20 15:15:33.797 [INFO] | 200 |  3.606004019s |  127.0.0.1:8011 | POST | /v1/message/NewSyncHistoryMessage?key=dad26a06-5516-4a5a-a320-e7708efab091 | 
2023-01-20 15:19:13.394 [INFO] | 200 |  298.231814ms |  127.0.0.1:8011 | GET | /v1/user/GetProfile?key=dad26a06-5516-4a5a-a320-e7708efab091 | 
2023-01-20 15:25:57.317 [INFO] | 200 | 22.724298962s |  127.0.0.1:8011 | POST | /v1/message/NewSyncHistoryMessage?key=dad26a06-5516-4a5a-a320-e7708efab091 | 
2023-01-20 15:47:15.641 [INFO] | 500 |  860.668355ms |  127.0.0.1:8011 | POST | /v1/message/NewSyncHistoryMessage?key=dad26a06-5516-4a5a-a320-e7708efab091 | 
2023-01-20 15:47:36.105 [INFO] | 500 |  150.784712ms |  127.0.0.1:8011 | POST | /v1/message/NewSyncHistoryMessage?key=dad26a06-5516-4a5a-a320-e7708efab091 | 
